Title,fulltitle,movie_year,Categories,summary,"Image URL",imdb_id,imdb_rating,runtime,language,ytid
"The Secret Rules of Modern Living: Algorithms","The Secret Rules of Modern Living: Algorithms (2015)",2015,Documentary,"Professor Marcus du Sautoy demystifies the hidden world of algorithms and reveals where these 2,000-year-old problem solvers came from, how they work, and what they have achieved.",https://hydramovies.com/wp-content/uploads/2018/04/The-Secret-Rules-of-Modern-Living-Algorithms-Movie-Poster.jpg,tt5818010,7.5,58,English,hpyxmT6KSvw
"Secrets in the Fall","Secrets in the Fall (2015)",2015,Family,"Nothing is impossible for a group of young campers, friends and enemies alike, on a weekend retreat at Camp Pinnacle. But what starts as an exciting wilderness adventure turns into trouble when a young camper goes missing and the rest of the group must set out to find him. The campers are forced to overcome their differences and band together to re-claim their weekend and make it out of the woods before dark!",https://hydramovies.com/wp-content/uploads/2018/04/Secrets-in-the-Fall-Movie-Poster.jpg,tt2522908,7.3,0,English,eMVw1pHVMAw
"Silent Night","Silent Night (2017)",2017,Comedy|Drama,"Adam unexpectedly visits his family house at Christmas after a few years of working abroad. No family member knows about his secret plans and the real reasons of his visit.",https://hydramovies.com/wp-content/uploads/2018/04/Silent-Night-Movie-Poster.jpg,tt7133554,7.5,100,English,cA6BUYVkQoE
"Suicide Squad: Hell to Pay","Suicide Squad: Hell to Pay (2018)",2018,Action|Animation,"Task Force X targets a powerful mystical object that they will risk their lives to steal.",https://hydramovies.com/wp-content/uploads/2018/04/Suicide-Squad-Hell-to-Pay-Movie-Poster.jpg,tt7167602,7.2,86,English,EPZZvk-wbGE
Wildling,"Wildling (2018)",2018,Fantasy|Horror,"Anna spends her entire childhood under the care of a mysterious man she only knows as Daddy. He keeps her locked in an attic making her fear the Wildling, a child-eating monster that roams the outside. At age 16, Anna is freed by small-town sheriff Ellen Cooper who helps her start a new life as a normal teenager. But as Anna's body begins to blossom, her childhood nightmares return with a vengeance, leading to the conclusion of a terrifying secret.",https://hydramovies.com/wp-content/uploads/2018/04/Wildling-Movie-Poster.jpg,tt5085924,6.1,92,English,eyl1Wf90AgY
"The Humanity Bureau","The Humanity Bureau (2017)",2017,Action|Sci-Fi,"A dystopian thriller set in the year 2030 that sees the world in a permanent state of economic recession and facing serious environmental problems as a result of global warming.",https://hydramovies.com/wp-content/uploads/2018/04/The-Humanity-Bureau-Movie-Poster.jpg,tt6143568,6.1,95,English,kUH8JGhRzPY
"Farewell Ferris Wheel","Farewell Ferris Wheel (2016)",2016,Documentary|Drama|News,"Farewell, Ferris Wheel examines the link between America's carnival industry and a small Mexican town that legally provides one third of the carnival's labor. However, increased regulations are compromising this longstanding connection, putting both the industry and its workers in jeopardy.",https://hydramovies.com/wp-content/uploads/2018/04/Farewell-Ferris-Wheel-Movie-Poster.jpg,tt2349677,7.4,72,English,-K2m6AKNB-g
"Don't Talk to Irene","Don't Talk to Irene (2017)",2017,Comedy,"Irene must endure 2 weeks of community service at a retirement home. Following her passion for cheerleading, she secretly signs up the senior residents to audition for a dance-themed reality show to prove that you don't need to be physically ""perfect"" to be perfectly AWESOME.",https://hydramovies.com/wp-content/uploads/2018/04/Dont-Talk-to-Irene-Movie-Poster.jpg,tt5030452,6.4,90,English,lK48UxWuUho
"Blood Road","Blood Road (2017)",2017,Documentary|History|Sport,"The mysteries surrounding her father's death in the Vietnam war lead ultra-endurance mountain biker Rebecca Rusch on an emotional journey as she pedals 1200 miles of the Ho Chi Minh trail.",https://hydramovies.com/wp-content/uploads/2018/04/Blood-Road-Movie-Poster.jpg,tt6900092,6.9,96,English,XCzVqiN950M
"Andre the Giant","Andre the Giant (2018)",2018,Documentary,"A look at the life and career of professional wrestler André Roussimoff, who gained notoriety in the 1980s as Andre the Giant.",https://hydramovies.com/wp-content/uploads/2018/04/Andre-the-Giant-Movie-Poster.jpg,tt6543420,8.2,85,English,f_jTeuajas0
"Dead on Arrival","Dead on Arrival (2017)",2017,Thriller,"A pharmaceutical sales rep visits a small town in Louisiana on business. He finds himself in a dark world of corruption and murder with 24 hours to live, running from the police, the mob and a sheriff that wants him dead.",https://hydramovies.com/wp-content/uploads/2018/04/Dead-on-Arrival-Movie-Poster.jpg,tt5903088,6.9,97,English,8jJ-kC-rq0Q
"Big Time","Big Time (2017)",2017,Documentary,"Bjarke Ingels started out as a young man dreaming of creating cartoons. Now, he has been named ""one of architecture's biggest innovators"" by The Wall Street Journal and one of The 100 Most Influential People on the planet by TIME Magazine. BIG TIME follows Bjarke during the course of 7 years (2009-2016), while he struggles to finish his biggest project so far. We are let into Bjarke's creative processes as well as the endless compromises that his work entails, and we are on the side when his personal life starts putting pressure on him, too. In addition to the recently opened architectural marvel VIA 57 West (625 West 57th Street), Bjarke Ingels' company Bjarke Ingels Group (BIG) was given the task of designing and building one of the skyscrapers which will replace Two World Trade Center in Manhattan. While Bjarke is creating these buildings, which will change the New York skyline, he is hit by health-related issues. The Film offers an intimate look into the innovative and ambitious ...",https://hydramovies.com/wp-content/uploads/2018/04/Big-Time-Movie-Poster.jpg,tt7630164,6.2,93,English,VK0mGdMKMW4
"Adventures in Babysitting","Adventures in Babysitting (2016)",2016,Adventure|Comedy|Family,"Two teen rival babysitters, Jenny and Lola, team up to hunt down one of their kids who accidentally runs away into the big city without any supervision.",https://hydramovies.com/wp-content/uploads/2018/04/Adventures-in-Babysitting-Movie-Poster.jpg,tt4456850,6.1,105,English,BbTTXUMVTTU
"Banana in a Nutshell","Banana in a Nutshell (2005)",2005,Documentary,"An intimate portrait of a Chinese-European couple in New Zealand, and their journey to get a blessing for marriage from traditional Chinese parents.",https://hydramovies.com/wp-content/uploads/2018/04/Banana-in-a-Nutshell-Movie-Poster.jpg,tt1537196,6.6,0,English,6vgD78Z6ut4
Hostiles,"Hostiles (2017)",2017,Adventure|Drama|Western,"In 1892, after nearly two decades of fighting the Cheyenne, the Apache, and the Comanche natives, the United States Cavalry Captain and war hero, Joseph Blocker, is ordered to escort the ailing Cheyenne chief, Yellow Hawk--his most despised enemy--to his ancestral home in Montana's Valley of the Bears. Nauseated with a baleful anger, Joseph's unwelcome final assignment in the feral American landscape is further complicated, when the widowed settler, Rosalie Quaid, is taken in by the band of soldiers, as aggressive packs of marauding Comanches who are still on the warpath, are thirsty for blood. In a territory crawling with hostiles, can the seasoned Captain do his duty one last time?",https://hydramovies.com/wp-content/uploads/2018/04/Hostiles-Movie-Poster.jpg,tt5478478,7.3,134,English,1M5cj4UmscE
"Maze Runner: The Death Cure","Maze Runner: The Death Cure (2018)",2018,Action|Sci-Fi|Thriller,"In the epic finale to The Maze Runner Saga, Thomas leads his group of escaped Gladers on their final and most dangerous mission yet. To save their friends, they must break into the legendary last city, a WCKD controlled labyrinth that may turn out to be the deadliest maze of all. Anyone who makes it out alive will get the answers to the questions the Gladers have been asking since they first arrived in the maze. Will Thomas and the crew make it out alive? Or will Ava Paige get her way?",https://hydramovies.com/wp-content/uploads/2018/04/Maze-Runner-The-Death-Cure-Movie-Poster.jpg,tt4500922,6.5,141,English,wnE_y4vN9nQ
"Den of Thieves","Den of Thieves (2018)",2018,Action|Crime|Drama|Mystery|Thriller,"A gritty L.A crime saga which follows the intersecting and often personally connected lives of an elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank of downtown Los Angeles.",https://hydramovies.com/wp-content/uploads/2018/04/Den-of-Thieves-Movie-Poster.jpg,tt1259528,7,140,English,FKd_ks0rdAM
V.I.P.,"V.I.P. (2017)",2017,Action|Crime|Thriller,"The son (Lee Jong-Suk) of a high-ranking North Korean official is suspected of committing serial murders around the world. To stop the killer, South Korea, North Korea and Interpol chase after him.",https://hydramovies.com/wp-content/uploads/2018/04/V.I.P.-Movie-Poster.jpg,tt6413410,6.4,128,English,dwRkl2BjtGQ
"Walk Hard: The Dewey Cox Story","Walk Hard: The Dewey Cox Story (2007)",2007,Comedy|Music,"The up-and-down-and-up-again story of musician Dewey Cox, whose songs would change a nation. On his rock 'n roll spiral, Cox sleeps with 411 women, marries three times, has 36 kids, stars in his own 70s TV show, collects friends ranging from Elvis to the Beatles to a chimp, and gets addicted to - and then kicks - every drug known to man; but despite it all, Cox grows into a national icon and eventually earns the love of a good woman - longtime backup singer Darlene.",https://hydramovies.com/wp-content/uploads/2018/04/Walk-Hard-The-Dewey-Cox-Story-Movie-Poster.jpg,tt0841046,6.8,96,English,4yzjtnj8Y3U
"Freaky Friday","Freaky Friday (2003)",2003,Comedy|Family|Fantasy|Music|Romance,"The wide generation gap between Tess Coleman and her teenage daughter Anna is more than evident. They simply cannot understand each other's preferences. On a Thursday night they have a big argument in a Chinese restaurant. Both receive a fortune cookie each from the restaurant owner's mother which causes them to switch bodies next day. As they adjust with their new personalities, they begin to understand each other more and eventually it's the mutual self-respect that sorts the things out.",https://hydramovies.com/wp-content/uploads/2018/04/Freaky-Friday-Movie-Poster.jpg,tt0322330,6.2,97,English,obOyYTto5Sg
"Perfect Strangers","Perfect Strangers (2017)",2017,Comedy,"In the same night that happens a blood red moon, some longtime friends reunite to dinner: the group is formed by plastic surgeon Alfonso and his wife, psychologist Eva, who are the hosts of the dinner; lawyers Antonio and his wife Ana; taxi driver Eduardo and his young and recent wife, veterinary Blanca; and finally Pepe, a former gym teacher actually unemployed, who surprisingly appears without Lucía, his recent girlfriend. Motivated by Blanca, who have some suspects about the group by the behaviors of some of them, she proposes a game where all diners leave their cell phones on the table, at the condition to say to everyone the contents of all text and voice messages. Starting like an innocent game, the progressive revelation of secrets as they appear cause a series the events each time more dramatics: Alfonso suspects that Eva has an affair, Ana thinks wrongly that Antonio is homosexual, Blanca realizes a horrible side about her marriage with Eduardo, and Pepe tries to keep hidden ...",https://hydramovies.com/wp-content/uploads/2018/04/Perfect-Strangers-Movie-Poster.jpg,tt6101820,7,97,English,-lOUnBsjGuY
Paterno,"Paterno (2018)",2018,Biography|Drama,"The film centers on Joe Paterno, who, after becoming the winningest coach in college football history, is embroiled in Penn State's Jerry Sandusky sexual abuse scandal, challenging his legacy and forcing him to face questions of institutional failure regarding the victims.",https://hydramovies.com/wp-content/uploads/2018/04/Paterno-Movie-Poster.jpg,tt2388986,6.6,105,English,scI7dYdlzuY
"Shirley: Visions of Reality","Shirley: Visions of Reality (2013)",2013,Documentary,"13 of Edward Hopper's paintings are brought alive by the film, telling the story of a woman, whose thoughts, emotions and contemplations let us observe an era in American history. Shirley is a woman in America in the 1930s, '40s, '50s, and early '60s. A woman who would like to influence the course of history with her professional and socio political involvement.",https://hydramovies.com/wp-content/uploads/2018/04/Shirley-Visions-of-Reality-Movie-Poster.jpg,tt2636806,6.5,92,English,rcQ4JKxxukY
"5 Centimeters Per Second","5 Centimeters Per Second (2007)",2007,Animation|Drama|Romance,"Takaki and Akari are two classmates in elementary school. During their time together they have become close friends. Their relationship is tested when Akari moves to another city because of her parents' jobs. Both of them struggle to keep their friendship alive, as time and distance slowly pulls them apart. When Takaki finds out that he is moving further away, he decides to visit Akari one last time.",https://hydramovies.com/wp-content/uploads/2018/04/5-Centimeters-Per-Second-Movie-Poster.jpg,tt0983213,7.7,63,English,SzAO_NeCmkM
"Faces Places","Faces Places (2017)",2017,Documentary,"Agnes Varda, one of the leading lights of France's honored French New Wave cinema era, and professional photographer and muralist, J.R., partake on a special art project. Together, they travel around France in a special box truck equipped as a portable photo booth and traveling printing facility as they take photographs of people around the country. With that inspiration, they also create special colossal mural pictures of individuals, communities and places they want to honor and celebrate. Along the way, the old cinematic veteran and the young artistic idealist enjoy an odd friendship as they chat and explore their views on the world as only they can.",https://hydramovies.com/wp-content/uploads/2018/04/Faces-Places-Movie-Poster.jpg,tt5598102,8,89,English,2rKZcAiLHlY
"The Post","The Post (2017)",2017,Biography|Drama|History|Thriller,"When American military analyst, Daniel Ellsberg, realizes to his disgust the depths of the US government's deceptions about the futility of the Vietnam War, he takes action by copying top-secret documents that would become the Pentagon Papers. Later, Washington Post owner, Kay Graham, is still adjusting to taking over her late husband's business when editor Ben Bradlee discovers the New York Times has scooped them with an explosive expose on those papers. Determined to compete, Post reporters find Ellsberg himself and a complete copy of those papers. However, the Post's plans to publish their findings are put in jeopardy with a Federal restraining order that could get them all indicted for Contempt. Now, Kay Graham must decide whether to back down for the safety of her paper or publish and fight for the Freedom of the Press. In doing so, Graham and her staff join a fight that would have America's democratic ideals in the balance.",https://hydramovies.com/wp-content/uploads/2018/04/The-Post-Movie-Poster.jpg,tt6294822,7.2,116,English,nrXlY6gzTTM
"The Anthem of the Heart","The Anthem of the Heart (2017)",2017,Drama|Family,"Takumi is on his class' community outreach group. His teacher assigns more students to the group including a student who, due to a mishap, has foregone speaking. The class has to perform a musical, but volunteers brave enough to perform are hard to come by. The reluctance slowly begins to wash away when the aforementioned girl makes an effort to perform. As the day of the performance approaches will the students be able to overcome their reluctance and go for it?",https://hydramovies.com/wp-content/uploads/2018/04/The-Anthem-of-the-Heart-Movie-Poster.jpg,tt6738046,6.2,119,English,EnbgMjdguxI
"My Teacher","My Teacher (2017)",2017,Drama|Romance,"Hibiki is an awkward, 17-year-old high school sophomore who hasn't known romance. But she's about to fall in love for the very first time. With whom? A man who isn't great with words, but compassionate about his students. It's her history teacher, Mr. Ito. ""Is it okay if I fall for you?"" Hibiki asks. ""I'm afraid I can't return those feelings,"" is Ito's reply. Hibiki's first love crashes before takeoff. But it doesn't matter. ""Still I want to cherish my crush anyway."" A teacher's heart begins to turn by a student's pure love.",https://hydramovies.com/wp-content/uploads/2018/04/My-Teacher-Movie-Poster.jpg,tt6190198,6,113,English,HpYqkdn2ilU
"You Were Never Really Here","You Were Never Really Here (2017)",2017,Drama|Mystery|Thriller,"Balancing between feverish dreamlike hallucinations of a tormented past and a grim disoriented reality, the grizzled Joe--a traumatised Gulf War veteran and now an unflinching hired gun who lives with his frail elderly mother--has just finished successfully yet another job. With an infernal reputation of being a brutal man of results, the specialised in recovering missing teens enforcer will embark on a blood-drenched rescue mission, when Nina, the innocent 13-year-old daughter of an ambitious New York senator, never returns home. But amidst half-baked leads and a desperate desire to shake off his shoulders the heavy burden of a personal hell, Joe's frenzied plummet into the depths of Tartarus is inevitable, and every step Joe takes to flee the pain, brings him closer to the horrors of insanity. In the end, what is real, and what is a dream? Can there be a new chapter in Joe's life when he keeps running around in circles?",https://hydramovies.com/wp-content/uploads/2018/04/You-Were-Never-Really-Here-Movie-Poster.jpg,tt5742374,7.1,89,English,yMqsd7Umxy8
"Petals on the Wind","Petals on the Wind (2014)",2014,Drama|Horror|Romance|Thriller,"A decade after Cathy, Christopher, and Carrie escaped from their grandparents' attic at Foxworth Hall, Petals on the Wind continues to follow the twisted plight of the family as they attempt to put their sordid past behind them, but soon discover certain secrets can't be left behind. When Cathy finds herself in an abusive relationship with a fellow dancer, Julian, Christopher and Cathy are forced to face the forbidden feelings they developed for one another while coming of age during captivity. But when tragedy strikes the Dollangangers once again, Cathy returns to Foxworth Hall to confront her grandmother and seek revenge on her mother with a plan to seduce her husband Bart. When Christopher runs to Cathy's side, the two are determined to start over again - together.",https://hydramovies.com/wp-content/uploads/2018/04/Petals-on-the-Wind-Movie-Poster.jpg,tt3496892,6.3,85,English,X8b86Bgrk0w
"Jesus Christ Superstar Live in Concert","Jesus Christ Superstar Live in Concert (2018)",2018,Musical,"A live musical recounting the final days of Jesus Christ and those around him.",https://hydramovies.com/wp-content/uploads/2018/04/Jesus-Christ-Superstar-Live-in-Concert-Movie-Poster.jpg,tt6874964,8,99,English,mPbb4BDirHA
"Dare to Be Wild","Dare to Be Wild (2015)",2015,Biography|Drama|Romance,"Irishwoman Mary Reynold's journey from rank outsider to winner of a Gold Medal at the Chelsea Flower Show.",https://hydramovies.com/wp-content/uploads/2018/04/Dare-to-Be-Wild-Movie-Poster.jpg,tt2989350,6.4,100,English,12lF4c06yEY
